botId,promoter_handle,content,screenshot,created_at,seen_on,official_ad_link,ad_type
Allison45555547,@crcCARE,"CRC CARE
@crcCARE
Don't know your acid sulfate soil from your elbow? Our 5 October online workshop is for professionals who aren't experts but need to understand and make management decisions about acid sulfate soils. Learn about regulation, investigation & risk assessment. https://crccare.com/events/understanding-acid-sulfate-soils-workshop-occurrence-and-interpretation-for-consultants-and-project-managers…
1
8
43
Promoted",Allison45555547_2021-08-26-23:26:04---8a176fae-bffd-4af9-ad09-9d0882f15393.png,2021-08-26 23:26:05.877454,https://twitter.com/crcCARE/status/1430434320179601409,https://twitter.com/crcCARE/status/1430434320179601409/photo/1,AD_TYPE_TWEET
Allison45555547,@7Sport,"7Sport
@7Sport
Another Aussie, another World Record!

Unbelievable scenes from Emily Petricola at the velodrome 

Broadcast partner 
@wisraustralia
 | #Tokyo2020
Wisr
0:06
Video will play after ad
6
5
57
516
Promoted by Wisr",Allison45555547_2021-08-26-23:26:23---f9c16bd2-1720-4909-909c-9718601533a5.png,2021-08-26 23:26:24.599233,https://twitter.com/7Sport/status/1430354023291498498,https://twitter.com/hashtag/Tokyo2020?src=hashtag_click,AD_TYPE_TWEET
Allison45555547,@OLIVER_Agency,"OLIVER
@OLIVER_Agency
FREE WEBINAR  Learn about the ‘cultural consumerism’ that’s making the luxury market more accessible to the global masses, as well as minority markets.
we'll speak to experts about the top 5 marketing trends for luxury brands today.

https://hubs.li/H0Vlhbb0?twclid=11430884400082800641

#webinar
3
2
Promoted",Allison45555547_2021-08-26-23:26:48---811460de-758b-4bce-ac91-9a324c1aa034.png,2021-08-26 23:26:49.112255,https://twitter.com/OLIVER_Agency/status/1427291560425689088,https://twitter.com/OLIVER_Agency/status/1427291560425689088/photo/1,AD_TYPE_TWEET
Allison45555547,@bet365_aus,"bet365 AUS
@bet365_aus
Tap  if you want to see Essendon win a final.
27
14
710
Promoted",Allison45555547_2021-08-26-23:35:50---caa0b9ce-7594-4011-a7c0-976b26840e34.png,2021-08-26 23:35:50.517410,https://twitter.com/bet365_aus/status/1430430613132038144,https://twitter.com/bet365_aus/status/1430430613132038144/photo/1,AD_TYPE_TWEET
Allison45555547,@datadoghq,"Datadog, Inc.
@datadoghq
As companies shift to the cloud, IT infrastructure can become increasingly complex and ephemeral. Now, it’s essential to implement an effective framework for monitoring your infrastructure and apps, however dynamic they may be. Download the eBook today:
Monitoring Modern Infrastructure
See metrics from all of your apps, tools & services in one place with Datadog's cloud monitoring as a service solution. Try it for free.
datadoghq.com
27
59
276
Promoted",Allison45555547_2021-08-26-23:36:03---ee9ee431-caab-42fd-86b8-6cc47800e640.png,2021-08-26 23:36:03.250063,https://twitter.com/datadoghq/status/1407016742723936257,https://t.co/on6l5BtgZA?twclid=11430886749761282051&amp=1,AD_TYPE_TWEET
Allison45555547,@PCRonline,"PCRonline
@PCRonline
Sponsorship applications for #AictPCR are open! HCPs in #interventionalcardiology, PCR Companions, members of 
@APSIC6
 : apply now for a registration package! 
https://bit.ly/3fMCkg8
#CardioTwitter #cardioed
151
2K
Promoted",Allison45555547_2021-08-26-23:36:15---affd14e8-af15-42c6-85cc-bf662256c385.png,2021-08-26 23:36:15.801985,https://twitter.com/PCRonline/status/1425011716916666396,https://twitter.com/PCRonline/status/1425011716916666396/photo/1,AD_TYPE_TWEET
Allison45555547,@MaltesersAus,"Maltesers Aus
@MaltesersAus
Watching Bachie starter kit:

Comfy seat - check
Hot drink - check
Maltesers - have you got yours?
#TheBachelorAU
5
4
38
Promoted",Allison45555547_2021-08-26-23:36:28---84e9dd46-40e3-47e4-9d8a-c73f5f5c0e8a.png,2021-08-26 23:36:28.811632,https://twitter.com/MaltesersAus/status/1430463390112124930,https://twitter.com/hashtag/TheBachelorAU?src=hashtag_click,AD_TYPE_TWEET
Allison45555547,@ResOutreach,"Research Outreach
@ResOutreach
Dr Sergey Kutsaev and his team at RadiaBeam Technologies have developed flexible particle accelerators which can produce high-energy X-rays with a multitude of applications.
RadiaBeam: Safer X-ray sources with smaller particle accelerators
Dr Sergey Kutsaev and his team at RadiaBeam Technologies have developed flexible particle accelerators which can produce high-energy X-rays.
researchoutreach.org
4
29
1K
Promoted",Allison45555547_2021-08-26-23:36:49---2ff357d8-96b5-4b38-9bf7-3c9687f8fb5e.png,2021-08-26 23:36:51.525847,https://twitter.com/ResOutreach/status/1426513938179518466,https://t.co/dTh4Mu0lW0?amp=1,AD_TYPE_TWEET
Allison45555547,@88rising,"88rising
@88rising
Drive You HomeOUT NOW
Drive You Home - Jackson Wang
lnk.to
73
2.1K
12.8K
Promoted",Allison45555547_2021-08-26-23:37:06---17a90128-059b-4b1f-8b51-dc5e162e775e.png,2021-08-26 23:37:06.885939,https://twitter.com/88rising/status/1421236297578934274,https://teamwang.lnk.to/DYHTW,AD_TYPE_TWEET
Allison45555547,@parentinfluenc1,"Parent Influence
@parentinfluenc1
People who sold their soul in exchange for an easy life 
People Who Figured Out How To Manipulate Their Way In Life
parentinfluence.com
6
18
Promoted",Allison45555547_2021-08-26-23:37:26---b8437950-4654-4d63-bba4-f190d7c82643.png,2021-08-26 23:37:26.830867,https://twitter.com/parentinfluenc1/status/1426180145417801729,https://parentinfluence.com/lifehacks/?utm_source=twitter&utm_campaign=pri-tw-eng1-d-lifehacks-cpc_aa_v1_cl9_tp_08.13.21&utm_medium=33399907&twclid=11430887103722758147,AD_TYPE_TWEET
